"scaffold","start","end","mid","sites","pi_S_HUE_T","pi_S_COT_S","dxy_S_HUE_T_S_COT_S","Fst_S_HUE_T_S_COT_S","S_S_HUE_T_egg","S_S_COT_S_egg","Pi_S_HUE_T_egg","Pi_S_COT_S_egg","thetaW_S_HUE_T_egg","thetaW_S_COT_S_egg","D_S_HUE_T_egg","D_S_COT_S_egg","lseff_S_HUE_T_egg","lseff_S_COT_S_egg","FstWC_S_HUE_T_S_COT_S_egg","Dxy_S_HUE_T_S_COT_S_egg","lseff_S_HUE_T_S_COT_S_egg","col"
"CM008230.1_RagTag",12200001,12250000,12224817,14810,0.0771,0.0766,0.0773,0.0032,"3247","3129","1040.327","1012.9762","1147.7683","1106.057","-0.4702","-0.4227",14174,13905,"0.0038","0.0714",12863,"#000000"
"CM008230.1_RagTag",12250001,12300000,12275454,14433,0.0701,0.0728,0.0718,0.0022,"2800","2943","894.873","931.8183","989.7601","1040.3086","-0.4815","-0.5238",13262,13301,"0.0033","0.067",12364,"#000000"
"CM008230.1_RagTag",12300001,12350000,12324770,14953,0.0644,0.0647,0.0656,0.0086,"2670","2712","848.7214","858.7905","943.807","958.6534","-0.506","-0.5232",13705,13817,"0.0103","0.0615",12059,"#020000"
"CM008230.1_RagTag",12350001,12400000,12374304,14023,0.0654,0.0645,0.0658,0.0066,"2586","2618","834.0286","829.0587","914.1142","925.4257","-0.44","-0.523",13204,13441,"0.0106","0.0631",12123,"#000000"
"CM008230.1_RagTag",12400001,12450000,12425670,14023,0.0719,0.0726,0.0727,0.0034,"2866","2905","932.1341","934.0214","1013.0902","1026.8761","-0.4013","-0.4541",13497,13396,"0.0058","0.0676",12170,"#000000"
"CM008230.1_RagTag",12450001,12500000,12475478,14171,0.0664,0.0682,0.0679,0.0052,"2623","2657","835.9357","860.4421","927.1932","939.2117","-0.4943","-0.4212",13096,13165,"0.0099","0.064",11861,"#000000"
"CM008230.1_RagTag",12500001,12550000,12524328,13388,0.067,0.0704,0.0706,0.0143,"2280","2318","743.7786","747.5159","805.9475","819.38","-0.3874","-0.4404",11569,10953,"0.025","0.0674",9786,"#020000"
"CM008230.1_RagTag",12550001,12600000,12575636,12778,0.0717,0.0693,0.0708,0.0027,"2487","2450","838.1222","815.923","879.1191","866.0401","-0.2342","-0.2906",12061,12118,"0.0058","0.0668",11472,"#000000"
"CM008230.1_RagTag",12600001,12650000,12624866,12750,0.0526,0.05,0.0522,0.009,"1501","1452","490.5","478.3302","530.5821","513.2613","-0.3792","-0.3416",9586,9735,"0.005","0.052",8737,"#020000"
"CM008230.1_RagTag",12650001,12700000,12675721,13216,0.0644,0.067,0.0669,0.0098,"2369","2498","770.9254","805.2056","837.4078","883.0074","-0.3987","-0.4425",12465,12570,"0.0174","0.0634",11885,"#020000"
"CM008230.1_RagTag",12700001,12750000,12725387,13192,0.0708,0.0704,0.0717,0.0083,"2662","2716","883.1984","874.7206","940.9791","960.0673","-0.3084","-0.4465",12958,12998,"0.0144","0.067",12331,"#020000"
"CM008230.1_RagTag",12750001,12800000,12775119,13066,0.0666,0.0669,0.0673,0.0039,"2412","2469","774.2905","778.4698","852.6077","872.7563","-0.4613","-0.5425",12020,12020,"0.006","0.0638",11179,"#000000"
"CM008230.1_RagTag",12800001,12850000,12825023,10236,0.0419,0.0402,0.0417,0.0084,"1278","1221","417.7087","398.9444","451.7548","431.6061","-0.3783","-0.3798",10185,10181,"0.0161","0.0397",10054,"#020000"
"CM008230.1_RagTag",12850001,12900000,12874842,13932,0.0537,0.0505,0.0531,0.0099,"1922","1892","605.1698","596.9048","679.3996","668.7951","-0.5486","-0.5397",11544,12267,"-0.0013","0.0529",10411,"#020000"
"CM008230.1_RagTag",12900001,12950000,12926038,14345,0.0653,0.0626,0.0652,0.0102,"2112","2000","689.0825","658.95","746.5619","706.9715","-0.3866","-0.3411",10889,10802,"0.0129","0.0635",9344,"#020000"
"CM008230.1_RagTag",12950001,13000000,12973845,15468,0.0658,0.0669,0.0673,0.0079,"2890","2904","902.9635","920.3119","1021.5739","1026.5227","-0.5831","-0.5196",14372,14308,"0.0113","0.0646",13032,"#000000"
"CM008230.1_RagTag",13000001,13050000,13025521,14884,0.0623,0.0619,0.0634,0.0107,"2521","2540","835.9079","828.6817","891.1376","897.8538","-0.3112","-0.3869",13915,13844,"0.0196","0.0594",13095,"#020000"
"CM008230.1_RagTag",13050001,13100000,13075079,15502,0.0642,0.0622,0.0642,0.0086,"2653","2614","839.7563","820.8246","937.7977","924.0118","-0.525","-0.5608",13544,13877,"0.0095","0.0622",12116,"#020000"
"CM008230.1_RagTag",13100001,13150000,13123613,14503,0.0673,0.0672,0.0688,0.0117,"2498","2547","803.4341","820.5484","883.0074","900.3282","-0.4526","-0.445",12552,12791,"0.0158","0.0638",11260,"#020000"
"CM008230.1_RagTag",13150001,13200000,13176772,14541,0.0756,0.0762,0.0771,0.0082,"2701","2808","878.0659","884.8802","954.765","992.588","-0.4034","-0.545",12049,11954,"0.0128","0.0735",10203,"#020000"
"CM008230.1_RagTag",13200001,13250000,13223480,14181,0.0728,0.0694,0.0722,0.008,"2792","2671","902.696","851.7873","986.9322","944.1605","-0.4287","-0.4913",13061,12838,"0.0152","0.0672",11744,"#020000"
"CM008230.1_RagTag",13250001,13300000,13275030,13351,0.0689,0.0693,0.0703,0.0089,"2621","2607","859.3325","857.7619","926.4862","921.5374","-0.364","-0.3476",13011,12917,"0.0139","0.0652",11928,"#020000"
"CM008230.1_RagTag",13300001,13350000,13325237,15121,0.0679,0.0671,0.0679,0.0034,"2741","2697","898.7667","885.8381","968.9045","953.3511","-0.3635","-0.3556",13766,13875,"0.0046","0.0666",11863,"#000000"
"CM008230.1_RagTag",13350001,13400000,13375587,14985,0.065,0.0671,0.0674,0.0105,"2658","2849","859.7333","914.473","939.5652","1007.0809","-0.4267","-0.4618",13641,14192,"0.0142","0.0643",12263,"#020000"
"CM008230.1_RagTag",13400001,13450000,13422002,12548,0.0702,0.0728,0.0728,0.0092,"2467","2636","797.146","816.3246","872.0494","931.7885","-0.4313","-0.6223",11839,11708,"0.0166","0.0679",10889,"#020000"
"CM008230.1_RagTag",13450001,13500000,13473644,14609,0.0646,0.0688,0.0667,0,"2337","2615","776.731","843.2095","826.0962","924.3653","-0.3001","-0.4409",12493,12778,"-0.0054","0.0631",11017,"#000000"
"CM008230.1_RagTag",13500001,13550000,13525341,13776,0.0642,0.0663,0.0655,0.0023,"2342","2439","779.2786","779.5833","827.8637","862.1518","-0.2947","-0.4809",12587,12071,"0.0038","0.0631",11216,"#000000"
"CM008230.1_RagTag",13550001,13600000,13574530,13463,0.0653,0.0636,0.0649,0.0037,"2581","2510","815.2214","785.5532","912.3468","887.2493","-0.5346","-0.5756",12961,12852,"0.0054","0.0606",12117,"#000000"
"CM008230.1_RagTag",13600001,13650000,13626965,13483,0.0681,0.0683,0.0685,0.0022,"2520","2511","844.9952","823.4683","890.7841","887.6027","-0.2581","-0.3629",12918,12484,"0.0023","0.0652",11937,"#000000"
"CM008230.1_RagTag",13650001,13700000,13675452,15215,0.0666,0.0643,0.0667,0.0098,"2884","2814","944.6079","913.4429","1019.4529","994.7089","-0.3687","-0.4103",14715,14772,"0.0191","0.0626",13998,"#020000"
"CM008230.1_RagTag",13700001,13750000,13725725,15952,0.0665,0.0641,0.0661,0.0063,"2955","2856","956.946","926.5024","1044.5504","1009.5553","-0.4212","-0.4132",15078,14999,"0.0116","0.0622",13266,"#000000"
"CM008230.1_RagTag",13750001,13800000,13773655,13920,0.0634,0.06,0.062,0.0025,"2528","2396","808.2008","762.0341","893.612","846.9519","-0.48","-0.5035",13202,13130,"0.0026","0.0581",12183,"#000000"
"CM008230.1_RagTag",13800001,13850000,13825410,13776,0.0581,0.0566,0.0584,0.0096,"2288","2253","730.2421","709.5762","808.7754","796.4034","-0.4876","-0.5475",13053,12947,"0.0188","0.0548",12132,"#020000"
"CM008230.1_RagTag",13850001,13900000,13877393,14269,0.0572,0.0557,0.0575,0.0099,"1983","2054","648.9667","644.8222","700.9623","726.0598","-0.3725","-0.5618",11718,11911,"0.0148","0.054",11139,"#020000"
"CM008230.1_RagTag",13900001,13950000,13924683,12461,0.0623,0.0626,0.0642,0.0146,"1874","1888","599.2635","586.7841","662.4323","667.3811","-0.4788","-0.6064",9956,9787,"0.0174","0.0603",8501,"#020000"
"CM008230.1_RagTag",13950001,14000000,13974496,14682,0.057,0.0584,0.0587,0.0096,"2134","2216","707.1381","734.65","754.3386","783.3244","-0.3142","-0.312",12868,13037,"0.0136","0.0551",11590,"#020000"
"CM008230.1_RagTag",14000001,14050000,14025384,14095,0.069,0.0696,0.0696,0.0024,"2753","2786","907.5468","899.9929","973.1463","984.8113","-0.3385","-0.4325",13568,13628,"0.0013","0.0648",12621,"#000000"
"CM008230.1_RagTag",14050001,14100000,14075539,14161,0.0544,0.0555,0.055,3e-04,"2263","2254","708.5817","699.7349","799.9383","796.7569","-0.5735","-0.6115",13386,13076,"-0.0019","0.0523",12029,"#000000"
"CM008230.1_RagTag",14100001,14150000,14124921,15315,0.0699,0.0678,0.07,0.0087,"2736","2746","906.5841","898.9317","967.137","970.6719","-0.3144","-0.3712",13412,13627,"0.0152","0.0666",11708,"#020000"
"CM008230.1_RagTag",14150001,14200000,14174948,16009,0.0625,0.0623,0.0649,0.0206,"2678","2745","852.9992","853.4905","946.6349","970.3184","-0.4968","-0.6047",14219,14367,"0.0327","0.0615",12863,"#050000"
"CM008230.1_RagTag",14200001,14250000,14225153,14912,0.0645,0.0668,0.0673,0.0133,"2583","2785","846.8992","882.7444","913.0537","984.4578","-0.3639","-0.5189",13644,13758,"0.0252","0.0647",12286,"#020000"
"CM008230.1_RagTag",14250001,14300000,14274719,15223,0.0617,0.063,0.0632,0.0067,"2505","2617","846.369","843.6127","885.4818","925.0722","-0.2218","-0.4422",14106,13785,"0.0134","0.0596",12291,"#000000"
"CM008230.1_RagTag",14300001,14350000,14325241,14670,0.0742,0.0722,0.0774,0.0291,"2695","2872","945.9278","974.2476","952.6441","1015.2111","-0.0354","-0.2026",12976,14023,"0.0533","0.0746",11911,"#070000"
"CM008230.1_RagTag",14350001,14400000,14375439,15466,0.0675,0.0689,0.0688,0.0048,"2815","2982","950.654","956.0508","995.0624","1054.0945","-0.2241","-0.4671",14552,14549,"0.0071","0.0656",13414,"#000000"
"CM008230.1_RagTag",14400001,14450000,14425306,14338,0.0703,0.0673,0.0697,0.0067,"1990","1968","679.3778","655.7651","703.4367","695.66","-0.1717","-0.288",9796,9885,"0.0051","0.0675",8275,"#000000"
"CM008230.1_RagTag",14450001,14500000,14476976,13409,0.0586,0.0619,0.0631,0.0246,"2042","2246","683.646","715.3246","721.8179","793.929","-0.2655","-0.4972",12114,12086,"0.0383","0.0604",10707,"#070000"
"CM008230.1_RagTag",14500001,14550000,14524011,13588,0.0653,0.0664,0.0668,0.0073,"2416","2542","817.5524","833.7929","854.0216","898.5608","-0.2144","-0.362",12975,12895,"0.014","0.0627",12273,"#000000"
"CM008230.1_RagTag",14550001,14600000,14576080,13133,0.0644,0.064,0.0649,0.0054,"2450","2494","797.6603","789.2944","866.0401","881.5935","-0.3965","-0.5258",12807,12813,"0.0095","0.0617",12417,"#000000"
"CM008230.1_RagTag",14600001,14650000,14625964,13104,0.069,0.0669,0.0704,0.0184,"2390","2486","810.9817","808.0468","844.831","878.7656","-0.2012","-0.4041",12105,12567,"0.0313","0.0671",11425,"#050000"
"CM008230.1_RagTag",14650001,14700000,14676688,13036,0.0515,0.058,0.0573,0.0239,"1700","1929","607.7929","675.8468","600.9258","681.874","0.0574","-0.0444",11979,11939,"0.0418","0.0548",10772,"#050000"
"CM008230.1_RagTag",14700001,14750000,14722771,12184,0.0406,0.0529,0.0503,0.0382,"1010","1472","381.6389","508.4929","357.0206","520.331","0.346","-0.1142",9681,9849,"0.073","0.0476",8707,"#0A0000"
"CM008230.1_RagTag",14750001,14800000,14774613,14200,0.046,0.0538,0.0528,0.0297,"1080","1337","386.8468","444.5127","381.7646","472.6105","0.0668","-0.2984",8640,8568,"0.0643","0.0485",7427,"#070000"
"CM008230.1_RagTag",14800001,14850000,14826281,14150,0.0524,0.0531,0.0559,0.0303,"1989","2065","659.2429","684.4373","703.0832","729.9481","-0.3131","-0.3131",13005,13267,"0.0533","0.0539",12237,"#070000"
"CM008230.1_RagTag",14850001,14900000,14873073,10820,0.053,0.0566,0.0572,0.0226,"1611","1706","549.4611","577.9833","569.4656","603.0467","-0.1764","-0.2087",10589,10490,"0.0477","0.0534",10068,"#050000"
"CM008230.1_RagTag",14900001,14950000,14925857,13421,0.0598,0.0715,0.0683,0.0212,"1853","2301","653.1849","785.6984","655.0091","813.3707","-0.014","-0.1708",11253,11314,"0.0343","0.0656",9693,"#050000"
"CM008230.1_RagTag",14950001,15000000,14974770,14476,0.0568,0.0589,0.0597,0.0165,"2167","2301","761.8198","790.9183","766.0036","813.3707","-0.0274","-0.1386",13770,13859,"0.0297","0.0574",12737,"#050000"
"CM008230.1_RagTag",15000001,15050000,15024641,14024,0.0596,0.0607,0.0632,0.0261,"2154","2315","744.3897","776.1167","761.4083","818.3195","-0.1122","-0.259",13034,13234,"0.0423","0.0597",12145,"#070000"
"CM008230.1_RagTag",15050001,15100000,15074518,13979,0.0669,0.0686,0.072,0.0318,"2421","2537","850.1508","860.4913","855.789","896.7934","-0.0331","-0.2033",13238,12969,"0.0529","0.0661",12051,"#070000"
"CM008230.1_RagTag",15100001,15150000,15123441,13815,0.0653,0.0651,0.0679,0.0216,"1006","1236","338.1294","393.6238","355.6067","436.9084","-0.2466","-0.4972",5163,6102,"0.0355","0.0681",4460,"#050000"
"CM008230.1_RagTag",15150001,15200000,15176237,12820,0.0581,0.0619,0.0617,0.015,"2032","2146","687.4619","727.1548","718.2831","758.5804","-0.2155","-0.208",12290,12248,"0.0278","0.059",11553,"#020000"
"CM008230.1_RagTag",15200001,15250000,15224861,13686,0.0588,0.0605,0.061,0.0119,"2214","2285","733.2286","758.1103","782.6175","807.715","-0.3169","-0.3084",12868,13078,"0.0211","0.0574",12046,"#020000"
"CM008230.1_RagTag",15250001,15300000,15274669,14964,0.0651,0.067,0.0671,0.0084,"2604","2884","875.1841","930.3008","920.4769","1019.4529","-0.2471","-0.4392",13870,14348,"0.013","0.0635",12659,"#020000"
"CM008230.1_RagTag",15300001,15350000,15325271,12783,0.0546,0.0567,0.0571,0.0134,"2040","2076","662.2556","679.4889","721.111","733.8364","-0.4098","-0.3719",12482,12416,"0.0256","0.0536",11627,"#020000"
"CM008230.1_RagTag",15350001,15400000,15374960,14812,0.0608,0.0596,0.0638,0.0304,"2397","2378","809.3222","785.0563","847.3054","840.5891","-0.2251","-0.3318",13809,13486,"0.0547","0.0615",12124,"#070000"
"CM008230.1_RagTag",15400001,15450000,15426661,13412,0.05,0.0546,0.0526,0.0027,"1904","2145","637.4587","692.1698","673.0369","758.227","-0.2654","-0.4375",13126,13119,"0.0049","0.0496",12179,"#000000"
"CM008230.1_RagTag",15450001,15500000,15474728,13827,0.0658,0.0697,0.0702,0.0188,"2452","2710","838.2643","884.0222","866.7471","957.9464","-0.165","-0.3876",13249,13222,"0.0344","0.0655",12367,"#050000"
"CM008230.1_RagTag",15500001,15550000,15524509,13674,0.0649,0.0635,0.0669,0.0216,"2350","2361","776.1159","749.0762","830.6915","834.5799","-0.3299","-0.5145",12306,12208,"0.0385","0.0636",11646,"#050000"
"CM008230.1_RagTag",15550001,15600000,15574410,13814,0.0651,0.0701,0.0698,0.0165,"2111","2214","710.7056","740.0183","746.2084","782.6175","-0.2389","-0.2733",11306,11024,"0.0259","0.0661",9944,"#050000"
"CM008230.1_RagTag",15600001,15650000,15626449,12481,0.0478,0.0499,0.0496,0.0075,"1611","1736","539.2571","548.0683","569.4656","613.6513","-0.2663","-0.5366",11476,11285,"0.0125","0.0466",10618,"#000000"
"CM008230.1_RagTag",15650001,15700000,15674519,13662,0.0648,0.064,0.0668,0.0188,"2378","2440","801.8611","806.1635","840.5891","862.5053","-0.2314","-0.328",12888,12950,"0.0316","0.0623",12102,"#050000"
"CM008230.1_RagTag",15700001,15750000,15725679,11736,0.0574,0.0567,0.0587,0.015,"1841","1854","640.5643","631.381","650.7673","655.3626","-0.0787","-0.1837",11360,11334,"0.0289","0.0555",10884,"#020000"
"CM008230.1_RagTag",15750001,15800000,15777917,14561,0.0619,0.0683,0.0659,0.0064,"2312","2656","797.7238","860.4817","817.2591","938.8582","-0.12","-0.4192",13434,13111,"0.0075","0.0604",11121,"#000000"
"CM008230.1_RagTag",15800001,15850000,15824539,15902,0.0638,0.0637,0.0655,0.0143,"2580","2712","881.8151","874.4151","911.9933","958.6534","-0.1662","-0.4413",14348,14376,"0.0269","0.0618",13068,"#020000"
"CM008230.1_RagTag",15850001,15900000,15876193,14799,0.0613,0.0604,0.0628,0.0169,"2415","2504","829.2389","806.5071","853.6681","885.1283","-0.1437","-0.4461",13910,13863,"0.0306","0.0598",12866,"#050000"
"CM008230.1_RagTag",15900001,15950000,15925305,14444,0.056,0.0615,0.0607,0.0174,"2192","2255","698.7183","737.3563","774.8408","797.1104","-0.4933","-0.3764",13043,12363,"0.0217","0.0568",11239,"#050000"
"CM008230.1_RagTag",15950001,16000000,15973949,14145,0.0526,0.0545,0.0547,0.0115,"2007","2235","695.15","725.1349","709.4459","790.0407","-0.1012","-0.4125",13797,13808,"0.0204","0.0512",12988,"#020000"
"CM008230.1_RagTag",16000001,16050000,16022889,11896,0.0527,0.0565,0.0566,0.0192,"1661","1933","567.1992","628.6468","587.1399","683.288","-0.1705","-0.4015",11376,11516,"0.0337","0.0526",11125,"#050000"
"CM008230.1_RagTag",16050001,16100000,16075684,12835,0.066,0.0677,0.0675,0.0055,"2484","2566","806.8659","828.9611","878.0586","907.0445","-0.4072","-0.4323",12698,12604,"0.0088","0.0639",12134,"#000000"
"CM008230.1_RagTag",16100001,16150000,16124724,12932,0.0522,0.0548,0.0545,0.0102,"1845","1971","633.8286","657.3595","652.1812","696.7204","-0.1413","-0.2837",12403,12262,"0.0176","0.0525",11778,"#020000"
"CM008230.1_RagTag",16150001,16200000,16175471,12550,0.0565,0.0589,0.0587,0.0086,"1897","2106","674.0897","701.1222","670.5625","744.441","0.0264","-0.2922",12203,12377,"0.0152","0.0562",11449,"#020000"
"CM008230.1_RagTag",16200001,16250000,16225543,14578,0.064,0.0607,0.0643,0.0162,"2314","2395","823.5405","800.1952","817.9661","846.5984","0.0342","-0.2753",13279,13814,"0.0251","0.0621",12122,"#050000"
"CM008230.1_RagTag",16250001,16300000,16273782,14435,0.0588,0.0572,0.0596,0.0142,"2012","1851","684.7056","628.7024","711.2134","654.3021","-0.1871","-0.1964",11862,11306,"0.0184","0.0579",9862,"#020000"
"CM008230.1_RagTag",16300001,16350000,16326419,13842,0.0601,0.0674,0.0708,0.0549,"2143","2455","743.4143","844.3365","757.52","867.8075","-0.0935","-0.1358",12734,12901,"0.0993","0.0686",11021,"#0F0000"
"CM008230.1_RagTag",16350001,16400000,16374914,15023,0.0546,0.0631,0.0627,0.0332,"2136","2513","735.9802","850.569","755.0456","888.3097","-0.1268","-0.2134",14068,13976,"0.0572","0.0606",12695,"#0A0000"
"CM008230.1_RagTag",16400001,16450000,16424220,14430,0.0552,0.0589,0.0606,0.0317,"2017","2272","706.0889","740.3389","712.9808","803.1197","-0.0485","-0.3925",12995,13038,"0.0496","0.0583",11774,"#070000"
"CM008230.1_RagTag",16450001,16500000,16475350,13227,0.0522,0.0594,0.0586,0.0258,"1824","2175","632.9175","719.4325","644.758","768.8315","-0.0922","-0.3226",12310,12403,"0.0427","0.0568",11161,"#070000"
"CM008230.1_RagTag",16500001,16550000,16526082,14403,0.0478,0.0569,0.0551,0.0274,"1828","2232","628.0151","739.7421","646.172","788.9802","-0.1411","-0.3134",13489,13359,"0.0452","0.0526",12420,"#070000"
"CM008230.1_RagTag",16550001,16600000,16575070,14714,0.0505,0.062,0.0613,0.0447,"1937","2386","667.9476","803.0333","684.7019","843.417","-0.1229","-0.2404",13533,13370,"0.0761","0.0581",12374,"#0C0000"
"CM008230.1_RagTag",16600001,16650000,16625388,13746,0.0575,0.0673,0.0684,0.0479,"2032","2672","735.8619","873.1762","718.2831","944.514","0.1229","-0.3793",13091,13438,"0.0861","0.0646",12091,"#0C0000"
"CM008230.1_RagTag",16650001,16700000,16670989,9711,0.045,0.0668,0.0675,0.0983,"791","1315","289.154","439.8825","279.6072","464.8338","0.1713","-0.2694",6877,6794,"0.2201","0.063",6068,"#1E0000"
"CM008230.1_RagTag",16700001,16750000,16726820,10407,0.0098,0.0385,0.0494,0.3541,"237","1086","85.5238","355.7365","83.7761","383.8855","0.1042","-0.368",9654,9444,"0.5439","0.0467",9203,"#710000"
"CM008230.1_RagTag",16750001,16800000,16775024,12668,0.0333,0.0689,0.0629,0.108,"1188","2470","405.6349","823.023","419.9411","873.1098","-0.171","-0.2881",12280,12203,"0.19","0.061",11614,"#210000"
"CM008230.1_RagTag",16800001,16850000,16825250,13567,0.0475,0.0603,0.0591,0.0486,"1739","2227","615.0738","754.4548","614.7117","787.2128","0.003","-0.209",13172,12922,"0.0856","0.056",12161,"#0F0000"
"CM008230.1_RagTag",16850001,16900000,16875449,13511,0.0532,0.065,0.0636,0.0383,"1946","2432","668.146","798.5921","687.8833","859.6774","-0.1441","-0.3568",12938,12691,"0.0657","0.0596",11930,"#0A0000"
"CM008230.1_RagTag",16900001,16950000,16925043,14650,0.049,0.0625,0.0599,0.038,"1873","2576","681.1167","856.5889","662.0788","910.5793","0.1444","-0.2978",14145,14179,"0.0671","0.0578",12930,"#0A0000"
"CM008230.1_RagTag",16950001,17000000,16972981,13847,0.0457,0.06,0.0582,0.0511,"1647","2218","565.9746","731.6143","582.1911","784.0314","-0.1398","-0.3357",12401,12673,"0.0877","0.0548",11645,"#0F0000"
"CM008230.1_RagTag",17000001,17050000,17024747,11538,0.0534,0.0556,0.0565,0.0192,"1732","1831","589.4746","610.9476","612.2373","647.2324","-0.1867","-0.2815",11217,11193,"0.0385","0.0528",10775,"#050000"
"CM008230.1_RagTag",17050001,17100000,17074317,8430,0.0634,0.0652,0.0745,0.0769,"537","702","200.8056","222.2571","189.8219","248.147","0.29","-0.5232",3184,3388,"0.132","0.0745",2880,"#170000"
"CM008230.1_RagTag",17100001,17150000,17123942,12898,0.0404,0.0489,0.0488,0.0469,"1359","1760","495.2143","588.15","480.3872","622.1349","0.1549","-0.2743",12341,12397,"0.0837","0.0455",11600,"#0C0000"
"CM008230.1_RagTag",17150001,17200000,17174938,13435,0.0483,0.0662,0.0608,0.0312,"1686","2455","595.3032","802.5365","595.977","867.8075","-0.0057","-0.3777",12649,12635,"0.0572","0.0579",11797,"#070000"
"CM008230.1_RagTag",17200001,17250000,17227355,13083,0.041,0.0522,0.0513,0.0505,"1382","1861","502.3603","620.446","488.5173","657.837","0.1422","-0.2854",12484,12183,"0.0733","0.0489",11256,"#0F0000"
"CM008230.1_RagTag",17250001,17300000,17273770,13984,0.0625,0.0676,0.069,0.0313,"2297","2537","817.8071","851.977","811.9568","896.7934","0.0362","-0.251",13470,13064,"0.0528","0.0653",11595,"#070000"
"CM008230.1_RagTag",17300001,17350000,17326292,14881,0.0422,0.0582,0.0559,0.0566,"1436","2106","524.8889","720.904","507.6056","744.441","0.1709","-0.1588",12792,12801,"0.1013","0.0534",11732,"#120000"
"CM008230.1_RagTag",17350001,17400000,17374432,13043,0.0829,0.0777,0.0815,0.008,"1411","1440","460.9413","442.4738","498.7684","509.0195","-0.3807","-0.6563",5771,5699,"0.0156","0.0744",4108,"#020000"
"CM008230.1_RagTag",17400001,17450000,17426195,11507,0.0367,0.0519,0.0522,0.0866,"1210","1627","411.3024","564.1238","427.7178","575.1213","-0.1926","-0.096",11375,11236,"0.1523","0.0495",10947,"#190000"
"CM008230.1_RagTag",17450001,17500000,17474921,12521,0.0555,0.0618,0.0626,0.0345,"1855","2188","665.0754","742.5167","655.7161","773.4268","0.0717","-0.2007",12349,12378,"0.0644","0.0592",11874,"#0A0000"
"CM008230.1_RagTag",17500001,17550000,17525242,12773,0.0483,0.0571,0.0572,0.0435,"1554","2035","575.7444","677.827","549.3169","719.3435","0.2415","-0.2898",12029,12276,"0.0772","0.0552",10815,"#0C0000"
"CM008230.1_RagTag",17550001,17600000,17574634,13813,0.0465,0.0607,0.0594,0.0541,"1686","2262","568.05","737.6452","595.977","799.5848","-0.2353","-0.389",12577,12580,"0.0973","0.0579",11235,"#0F0000"
"CM008230.1_RagTag",17600001,17650000,17625348,12576,0.0525,0.0573,0.0553,0.0043,"1820","2110","624.7611","685.5913","643.3441","745.855","-0.145","-0.4057",12208,12271,"0.007","0.0533",11508,"#000000"
"CM008230.1_RagTag",17650001,17700000,17675555,14546,0.0551,0.0636,0.063,0.031,"2044","2491","726.7008","835.4579","722.5249","880.533","0.029","-0.2571",13468,13529,"0.0577","0.0586",12531,"#070000"
"CM008230.1_RagTag",17700001,17750000,17726389,13863,0.0711,0.0647,0.0711,0.0236,"2369","2461","850.6063","788.119","837.4078","869.9285","0.0791","-0.4723",12300,12490,"0.0409","0.0637",10987,"#050000"
"CM008230.1_RagTag",17750001,17800000,17775325,14047,0.0591,0.0602,0.0663,0.0556,"406","534","142.6476","167.7968","143.5152","188.7614","-0.0303","-0.5566",2306,2547,"0.0678","0.0577",1785,"#0F0000"
"CM008230.1_RagTag",17800001,17850000,17826054,14347,0.0458,0.052,0.05,0.0118,"1481","1770","519.9841","613.3659","523.5124","625.6698","-0.0338","-0.0987",11568,12079,"0.0167","0.0502",10011,"#020000"
"CM008230.1_RagTag",17850001,17900000,17875187,12977,0.0602,0.0676,0.0647,0.0069,"2061","2419","736.654","812.1048","728.5342","855.0821","0.056","-0.2524",12425,12378,"0.0098","0.0618",11657,"#000000"
"CM008230.1_RagTag",17900001,17950000,17924288,15159,0.0607,0.0637,0.064,0.0153,"2359","2506","812.5476","845.7484","833.8729","885.8353","-0.1284","-0.2273",13724,13742,"0.0281","0.059",11565,"#020000"
"CM008230.1_RagTag",17950001,18000000,17974939,14675,0.0394,0.0633,0.0589,0.072,"1398","2445","512.3627","819.4008","494.1731","864.2727","0.1848","-0.2607",13321,13336,"0.1251","0.0576",11439,"#140000"
"CM008230.1_RagTag",18000001,18050000,18026091,15551,0.0518,0.09,0.0812,0.0707,"2164","3772","749.9762","1250.1262","764.9432","1333.3483","-0.0983","-0.3135",14755,14483,"0.1309","0.076",12162,"#140000"
"CM008230.1_RagTag",18050001,18100000,18073649,13937,0.0574,0.069,0.0692,0.0474,"2089","2750","724.1492","879.1548","738.4318","972.0858","-0.0971","-0.4801",13001,13170,"0.0863","0.0672",11286,"#0C0000"
"CM008230.1_RagTag",18100001,18150000,18125673,14837,0.0501,0.0761,0.0726,0.0735,"1759","2709","626.6111","916.0984","621.7815","957.5929","0.039","-0.2176",12680,12540,"0.1284","0.0692",11133,"#170000"
"CM008230.1_RagTag",18150001,18200000,18175795,15195,0.0445,0.0692,0.0706,0.1127,"1656","2819","597.25","947.8048","585.3724","996.4764","0.1019","-0.2453",13718,14311,"0.1956","0.0671",12029,"#240000"
"CM008230.1_RagTag",18200001,18250000,18225111,15646,0.0505,0.0625,0.0613,0.0425,"1847","2381","664.2516","814.2151","652.8882","841.6496","0.0874","-0.1637",13403,13300,"0.0718","0.0594",11583,"#0C0000"
"CM008230.1_RagTag",18250001,18300000,18275499,15570,0.0446,0.0645,0.0623,0.0694,"1549","2547","587.7087","898.5627","547.5494","900.3282","0.3682","-0.0098",13319,14544,"0.1181","0.0597",12024,"#140000"
