# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "12" "-p" "--countReadPairs" "-B" "-C" "-t" "exon" "-g" "gene_id" "-a" "/scratch/leuven/357/vsc35707/annotation/func-annotation/results/08_minimal_annotation/braker.minimal.annotated.gtf" "-o" "/scratch/leuven/357/vsc35707/rna-seq/counts/gene_counts.txt" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_01.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_02.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_03.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_04.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_05.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_06.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_01.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_02.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_03.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_04.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_05.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_06.filtered.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_01.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_02.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_03.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_04.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_05.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_06.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_01.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_02.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_03.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_04.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_05.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_06.filtered.sorted.bam
g1977	CHR11;CHR11;CHR11;CHR11;CHR11	22232044;22232891;22233725;22233889;22234735	22232375;22233299;22233829;22234044;22234794	+;+;+;+;+	1062	4	4	4	7	5	8	1	10	36	8	22	12
g1978	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22234946;22235360;22235364;22235620;22235620;22237509;22237509	22234949;22235562;22235562;22235793;22235793;22237626;22237626	-;-;-;-;-;-;-	499	174	354	476	169	230	517	68	259	147	144	336	282
g1979	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22249080;22249290;22250844;22251157;22253365;22253527	22249230;22249449;22251093;22251267;22253467;22253642	+;+;+;+;+;+	891	931	804	801	610	965	402	441	300	410	498	331	378
g1980	CHR11;CHR11;CHR11;CHR11	22255032;22256905;22257030;22257181	22256051;22256967;22257119;22257288	+;+;+;+	1281	0	1	1	1	0	0	2	1	2	5	0	3
g1981	CHR11;CHR11	22423964;22425652	22424023;22426116	+;+	525	50428	31889	42575	43651	31369	43018	47495	38553	40902	56195	46744	54883
g1982	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22428129;22428483;22428792;22428993;22429257;22429457;22429464	22428425;22428620;22428937;22429198;22429400;22429756;22429756	-;-;-;-;-;-;-	1231	18882	8374	8735	10781	8303	9285	13168	11983	6606	17653	18741	15096
g1983	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22430885;22431152;22431458;22431808;22432036;22432260	22431078;22431290;22431754;22431955;22432199;22432571	+;+;+;+;+;+	1254	843	1009	785	1018	591	344	1458	1922	1055	1739	1462	1062
g1984	CHR11	22439856	22440482	-	627	1929	688	718	944	777	763	993	917	486	1332	1027	1328
g1985	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22526714;22533305;22533351;22533522;22533522;22534058;22534058;22537247;22537247;22537407;22537407	22526724;22533460;22533460;22533724;22533724;22534311;22534311;22537343;22537343;22538431;22538431	+;+;+;+;+;+;+;+;+;+;+	1746	0	0	0	0	0	1	0	0	0	0	1	0
g1986	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22571621;22571621;22572052;22572052;22572413;22572413;22572822;22572822;22573109;22573109;22574661;22575564;22575937;22575937;22576180;22576180;22576522;22576522;22576767;22576767;22576996;22576996;22580442;22580442;22581115;22581115	22571995;22571995;22572353;22572353;22572764;22572764;22572990;22572990;22573635;22573635;22575693;22575693;22576109;22576109;22576464;22576464;22576708;22576708;22576939;22576939;22577473;22577473;22580939;22580939;22581182;22581182	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4620	1647	2861	3367	3245	2477	4141	3697	3792	5034	3853	4394	4744
g1987	CHR11;CHR11;CHR11;CHR11;CHR11	22583358;22583718;22584407;22584705;22584920	22583498;22584346;22584647;22584861;22585005	+;+;+;+;+	1254	1416	1657	1512	1518	1567	1392	1092	1652	1156	1459	1343	1479
g1988	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22588125;22588125;22588125;22588125;22588125;22589050;22589050;22589050;22589316;22589316;22589316;22589316;22589316;22589663;22589663;22589663;22589663;22589663;22589972;22589972;22589972;22589972;22589972;22590201;22590201;22590201;22590201;22590201;22590644;22590644;22590644;22590644;22590644;22590851;22590857;22590857;22590857;22590857;22591124;22591124;22591124;22591124;22591124;22591581;22591581;22591581;22591581;22591581;22592782;22592782;22592782;22592782;22592782	22588262;22588262;22588262;22588262;22588262;22589175;22589175;22589175;22589604;22589604;22589604;22589604;22589604;22589910;22589910;22589910;22589910;22589910;22590145;22590145;22590145;22590145;22590145;22590464;22590464;22590464;22590464;22590464;22590745;22590745;22590745;22590745;22590745;22591068;22591068;22591068;22591068;22591068;22591394;22591397;22591397;22591394;22591397;22592120;22592120;22592120;22592120;22592120;22592832;22592832;22592832;22592832;22592832	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2424	291	476	448	326	392	368	471	670	537	497	527	564
g1989	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22596590;22596707;22596848;22597131;22597441;22597812;22598212	22596648;22596785;22597070;22597385;22597751;22598070;22598381	-;-;-;-;-;-;-	1356	324	1582	923	619	570	572	664	812	643	868	883	728
g1990	CHR11;CHR11;CHR11	22598930;22599591;22600139	22599537;22599805;22600416	+;+;+	1101	774	483	355	538	416	418	496	506	667	598	639	711
g1991	CHR11;CHR11	22600444;22601236	22600579;22601432	-;-	333	181	127	133	136	149	141	93	116	137	133	162	128
g1992	CHR11;CHR11	22601830;22602017	22601960;22602125	+;+	240	3642	2892	2629	2808	2294	3044	3882	2553	4036	6471	4921	5575
g1993	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22602440;22602581;22602842;22603062;22603195;22603275;22603446;22603668	22602525;22602770;22603007;22603132;22603217;22603391;22603604;22603764	-;-;-;-;-;-;-;-	909	448	472	540	404	375	481	368	413	398	394	513	469
g1994	CHR11;CHR11;CHR11	22610816;22615645;22617077	22610902;22615845;22617184	-;-;-	396	186	790	873	307	273	487	826	787	933	504	808	589
g1995	CHR11	22659798	22660061	-	264	32	424	460	122	100	168	481	498	482	341	474	451
g1996	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22663534;22663745;22664455;22664745;22665175;22665643;22666190;22666407	22663685;22664398;22664684;22665091;22665584;22665964;22666293;22666476	-;-;-;-;-;-;-;-	2289	26242	28765	34007	33219	25875	32227	23800	36401	28621	32469	32634	33133
g1997	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22667180;22667304;22667698;22667985;22668198;22668404;22668557	22667250;22667646;22667928;22668145;22668348;22668497;22668801	+;+;+;+;+;+;+	1296	1114	1110	1144	1132	1145	951	725	1022	729	825	948	952
g1998	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22669348;22669422;22669724;22670269;22670769;22671048;22671373	22669363;22669666;22669927;22670712;22670986;22671322;22671617	+;+;+;+;+;+;+	1647	1631	1630	1873	1671	1520	1844	1507	2161	1984	1725	1929	2055
g1999	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22671822;22671917;22672125;22674632;22674896;22675283	22671860;22672069;22672354;22674797;22675170;22675493	+;+;+;+;+;+	1074	1640	704	835	912	663	757	1235	622	777	1132	1308	937
g2000	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22677536;22677726;22678161;22678448;22678677;22679009	22677619;22677884;22678390;22678613;22678948;22679222	+;+;+;+;+;+	1125	236	135	136	176	150	194	132	129	104	175	176	210
g2001	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22680433;22680538;22680761;22682267;22682489;22683280	22680480;22680699;22680990;22682432;22682760;22683493	+;+;+;+;+;+	1092	337	300	428	618	362	617	474	372	584	521	591	691
g2002	CHR11;CHR11;CHR11	22683728;22684054;22684766	22684000;22684710;22684987	-;-;-	1152	1628	1158	1266	1656	1406	1346	911	1340	841	1062	1252	1666
g2003	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22686066;22688184;22688485;22688845;22689711;22689978;22690443;22690704;22692550;22693661;22693923;22695268;22695570;22695845;22696256;22696613;22697104;22698709;22699007;22699246;22700783;22701152	22686386;22688427;22688658;22689654;22689919;22690139;22690642;22691675;22693603;22693863;22694779;22695513;22695785;22696204;22696554;22697050;22697408;22698947;22699183;22699456;22701072;22701411	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8247	174	816	675	352	340	394	903	1213	893	760	1319	937
g2004	CHR11;CHR11;CHR11;CHR11	22704238;22704487;22704851;22706130	22704426;22704786;22705217;22706449	+;+;+;+	1176	1436	1509	1362	1572	1344	1224	747	1105	753	977	985	1024
g2005	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22706696;22706912;22707151;22707737;22707864;22708302;22708541;22708790	22706853;22707091;22707322;22707805;22708240;22708487;22708741;22708949	-;-;-;-;-;-;-;-	1503	1035	1552	1383	1379	912	1305	643	841	669	961	855	953
g2006	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22709348;22710027;22710285;22710968;22711489;22711666;22711950;22712135	22709557;22710227;22710508;22711434;22711609;22711900;22712081;22712146	-;-;-;-;-;-;-;-	1602	2361	1445	1525	1485	1683	1493	1669	1907	1960	1767	1888	1493
g2007	CHR11	22713196	22713471	+	276	988	1055	1254	1518	1050	776	314	288	197	212	285	301
g2008	CHR11	22732299	22732736	-	438	133279	77124	80911	83292	100235	94093	32918	26292	47227	9682	5009	22294
g2009	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22733989;22733989;22734161;22734161;22734385;22734385;22734716;22734716;22734826;22734826;22735006;22735006;22735188;22735188;22735727;22735727;22737094	22734104;22734104;22734330;22734330;22734661;22734661;22734762;22734762;22734952;22734952;22735129;22735129;22735466;22735466;22735774;22735861;22737150	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1332	204	532	157	189	140	122	66	135	73	63	110	196
g2010	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22738825;22738989;22739218;22739659;22740115;22740300;22740486;22741291;22741535;22741786	22738937;22739158;22739350;22739918;22740241;22740423;22740603;22741472;22741669;22741845	-;-;-;-;-;-;-;-;-;-	1422	944	1463	1084	1019	1274	989	2145	2129	2487	2933	2136	1419
g2011	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	22743189;22743297;22743486;22743729;22743900;22744089;22745701;22746015;22746209;22746438	22743239;22743431;22743667;22743840;22744023;22744215;22745954;22746147;22746378;22746550	+;+;+;+;+;+;+;+;+;+	1401	15505	20890	9553	16348	11327	1789	2843	776	434	966	539	1357
g2012	CHR11;CHR11;CHR11	22811979;22812168;22812290	22812113;22812236;22812955	-;-;-	870	2	2	3	2	6	0	1	6	0	4	3	3
g2013	CHR11;CHR11	22815134;22815738	22815174;22816986	-;-	1290	5	7	4	3	15	0	6	3	0	4	7	7
g2014	CHR11;CHR11;CHR11;CHR11;CHR11	22924053;22930500;22937390;22942495;22944264	22924101;22930883;22937507;22942685;22944343	+;+;+;+;+	822	6	45	43	36	9	14	29	29	38	25	57	39
g2015	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	23071624;23071624;23071852;23071852;23073093;23073093;23073317;23073317;23073442;23073442;23073865;23073865;23075608;23075612;23076253;23076253	23071787;23071787;23072031;23072031;23073264;23073264;23073385;23073385;23073809;23073809;23074046;23074050;23075809;23075809;23076415;23076415	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1504	2212	1018	1429	1135	1078	1508	6607	5162	2935	3996	5236	9944
g2016	CHR11	23083751	23084251	+	501	0	0	0	0	0	0	0	0	0	0	0	0
g2017	CHR11;CHR11;CHR11;CHR11	23122407;23122546;23122953;23123177	23122481;23122707;23123120;23123332	+;+;+;+	561	10	4	5	6	4	10	8	10	7	9	8	8
g2018	CHR11;CHR11;CHR11	23127709;23128094;23128277	23127802;23128217;23128373	+;+;+	315	5811	2073	1851	1273	1369	1655	1210	1775	2635	2191	1692	1541
g2019	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	23128883;23128883;23129312;23129312;23129603;23129603;23129710	23128976;23128976;23129438;23129438;23129744;23129652;23129744	-;-;-;-;-;-;-	363	502	181	224	250	341	119	680	936	86	1391	860	1220
g2020	CHR11;CHR11;CHR11	23129968;23130116;23131578	23130058;23130242;23131671	+;+;+	312	123	349	84	202	124	183	101	130	151	186	142	266
g2021	CHR11;CHR11;CHR11;CHR11	23135972;23136198;23136495;23137441	23136014;23136436;23136629;23137776	+;+;+;+	753	167	194	10	93	30	149	52	44	29	20	6	58
g2022	CHR11;CHR11;CHR11	23139450;23139603;23139913	23139540;23139732;23140009	+;+;+	318	4135	1538	2360	3408	1645	1979	670	1276	1087	2243	1692	1830
g2023	CHR11;CHR11;CHR11;CHR11	23141221;23141783;23142184;23143393	23141725;23142099;23142406;23143613	+;+;+;+	1266	2838	3863	2647	3901	2099	1303	1120	1524	1357	1751	1199	1405
g2024	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	23144593;23144718;23144848;23145140;23145915;23146169;23146897	23144657;23144790;23144914;23145545;23146076;23146253;23147022	-;-;-;-;-;-;-	984	16141	11057	17088	23956	16703	32976	14497	10937	20560	14875	20773	19657
g2025	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	23156081;23156081;23156358;23156358;23156533;23156533;23158245;23158245;23158831;23158831;23160165;23160165;23160990;23160990;23168038;23168038	23156297;23156297;23156474;23156474;23156723;23156723;23158418;23158418;23159028;23159028;23160324;23160324;23161134;23161134;23168275;23168296	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1461	0	6	9	0	2	4	14	12	34	12	67	20
g2026	CHR11	23223687	23224055	+	369	0	0	0	0	0	0	0	0	0	0	1	0
g2027	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	23292100;23312103;23345173;23347675;23357729;23372252;23376328;23386627	23292310;23312247;23345332;23347872;23357941;23372466;23376444;23386858	+;+;+;+;+;+;+;+	1491	3	33	46	11	16	23	35	41	31	30	40	16
g2028	CHR11	23335594	23335929	-	336	0	0	0	0	0	0	0	0	0	0	0	0
g2029	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	23390175;23394846;23395056;23395056;23395182;23395500;23395500;23395500;23395715;23395715;23395715;23396046;23396046;23396046;23396305;23396305;23396305;23396534;23396534;23396534;23396837;23396837;23396837;23399207;23399207;23399207	23390279;23394860;23395447;23395447;23395447;23395655;23395655;23395655;23395992;23395992;23395992;23396249;23396249;23396249;23396481;23396481;23396481;23396774;23396774;23396774;23397020;23397020;23397020;23399446;23399446;23399446	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1992	3094	4911	3762	3261	3147	2864	3575	4475	2971	4965	3692	3628
g2030	CHR11	23401097	23403259	-	2163	48109	65525	56038	53770	58869	45720	22745	33351	28561	28290	31175	43099
g2031	CHR11;CHR11	23404494;23404940	23404613;23405560	+;+	741	582	340	223	198	230	180	326	334	327	515	356	484
g2032	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	23408511;23408511;23408511;23408916;23408916;23408916;23412852;23412852;23412852;23413080;23413080;23413080;23413767;23413767;23413767;23414111;23414111;23414111;23414383;23414383;23414383;23414714;23414714;23414714;23415405;23415405;23415405;23430267;23430267;23430564;23430564;23430832;23430832;23434825;23438297	23408860;23408860;23408860;23409108;23409108;23409108;23413020;23413020;23413020;23413607;23413607;23413607;23414043;23414043;23414043;23414316;23414316;23414316;23414660;23414660;23414660;23414965;23414965;23414965;23415407;23415462;23415462;23430351;23430351;23430779;23430779;23431071;23431071;23434942;23438339	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3013	332	1414	1523	492	877	631	1096	2208	1246	1576	1608	1035
g2033	CHR11;CHR11;CHR11;CHR11;CHR11	23501211;23516534;23516780;23531579;23542787	23501407;23516715;23517884;23531797;23542988	-;-;-;-;-	1905	6	97	147	40	48	54	118	334	120	159	102	48
g2034	CHR11;CHR11;CHR11	23554145;23554145;23554621	23554552;23554504;23554626	-;-;-	414	1659	2859	5350	4225	3544	6414	4679	5837	7501	4879	7568	12015
g2035	CHR11	23560757	23561251	-	495	3	1	1	1	3	1	2	2	0	4	6	3
g2036	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	23658287;23658287;23658776;23658776;23658896;23658896;23659713;23659725;23660716;23660716	23658424;23658424;23658842;23658842;23659006;23659006;23659844;23659844;23660930;23660930	+;+;+;+;+;+;+;+;+;+	663	767	853	772	839	874	584	527	703	634	700	703	663
g2037	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	23662508;23663812;23664066;23664351;23666064;23666230	23662787;23664008;23664291;23664603;23666173;23666528	+;+;+;+;+;+	1365	136	161	375	239	137	224	170	105	189	84	148	76
g2038	CHR11;CHR11;CHR11	23666671;23666791;23666977	23666732;23666918;23667146	-;-;-	360	1965	833	906	846	784	680	1291	1010	1119	1079	1294	1781
g2039	CHR11;CHR11	23667609;23667711	23667658;23668182	+;+	522	3922	2355	2770	3226	2973	3084	2844	2199	2885	3497	4068	3893
g2040	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	23669448;23669620;23670460;23670723;23671072;23675113	23669558;23669802;23670644;23671011;23671409;23675272	-;-;-;-;-;-	1266	1759	1659	1342	1549	1587	1101	627	1111	773	856	998	637
g2041	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	23680813;23680813;23680813;23680978;23680978;23680978;23681184;23681184;23681184;23682106;23682106;23682106;23682448;23682448;23682448;23689461;23689461;23689461;23689808;23689808;23689808;23690293;23690293;23690293;23691299;23691299;23691299;23691636;23691636;23694124;23694124;23694124;23694464;23694578;23694578;23694578;23694578;23694765;23696415;23696415;23696415	23680916;23680916;23680916;23681116;23681116;23681116;23681388;23681388;23681388;23682389;23682389;23682389;23682684;23682684;23682684;23689746;23689746;23689746;23690238;23690238;23690238;23690527;23690527;23690527;23691456;23691456;23691456;23691665;23691665;23694369;23694369;23694369;23694520;23694702;23694702;23694702;23694702;23694798;23696586;23696586;23696586	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2743	2272	1624	1665	1823	1509	1697	1967	2452	1969	2518	2915	2764
g2042	CHR11;CHR11;CHR11	23696722;23698022;23698307	23697303;23698250;23698413	-;-;-	918	766	258	386	368	404	354	381	374	418	479	465	461
g2043	CHR11;CHR11;CHR11;CHR11;CHR11	23698688;23699162;23700092;23700257;23700684	23698722;23700035;23700198;23700627;23701018	+;+;+;+;+	1722	22509	12765	15390	15923	15879	17132	20250	22204	25896	15907	18463	24870
g2044	CHR11	23701522	23702376	-	855	7294	3861	5325	5043	3926	5720	5972	4234	3398	5710	8558	7156
g2045	CHR11	23702775	23703401	+	627	854	800	905	681	657	788	1191	1109	810	1459	1673	1329
g2046	CHR11;CHR11;CHR11;CHR11	23703826;23703940;23704076;23704326	23703870;23704012;23704262;23705562	+;+;+;+	1542	173	547	412	340	355	315	315	449	297	402	375	346
g2047	CHR11	23704564	23705562	+	999	0	0	0	0	0	0	0	0	0	0	0	0
g2048	CHR11;CHR11;CHR11;CHR11;CHR11	23706151;23706284;23706507;23706723;23708230	23706214;23706440;23706659;23706889;23708702	+;+;+;+;+	1014	1510	459	4179	2175	1112	1030	2483	1678	3530	2223	5355	4127
g2049	CHR11;CHR11;CHR11;CHR11;CHR11	23754171;23754361;23754692;23755449;23757369	23754305;23754631;23755381;23755719;23757594	+;+;+;+;+	1593	301	215	306	238	247	250	257	292	277	231	311	290
g2050	CHR11;CHR11;CHR11	23758805;23758983;23761532	23758924;23760127;23761640	+;+;+	1374	197	47	52	35	43	48	54	52	48	55	71	63
g2051	CHR11	23763358	23763672	+	315	344	136	229	372	352	296	510	321	194	468	429	498
g2052	CHR11;CHR11	23767659;23769182	23769125;23769304	-;-	1590	10	21	32	14	19	24	37	38	88	68	74	78
g2053	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	23769668;23769903;23770163;23770405;23770895;23771121;23771365	23769734;23770102;23770323;23770527;23771063;23771304;23771459	+;+;+;+;+;+;+	999	18165	7762	11925	11290	6142	7260	20402	14202	9422	21278	24613	18945
g2054	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	23772475;23772657;23772909;23773125;23773354;23773585;23773820	23772541;23772856;23773069;23773247;23773525;23773768;23773914	+;+;+;+;+;+;+	1002	4342	905	1569	1981	1535	2471	4443	3011	5687	4634	5742	4692
g2055	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	23796042;23796100;23796246;23797821;23797821;23798177;23798177;23800113;23800113;23800311;23800311;23802832;23802832	23796441;23796180;23796441;23798116;23798116;23798515;23798515;23800254;23800254;23800842;23800842;23803918;23803918	+;+;+;+;+;+;+;+;+;+;+;+;+	2796	5631	4258	8217	8693	5254	7780	5147	4513	4515	5928	6644	10177
g2056	CHR11;CHR11;CHR11;CHR11	23804966;23805046;23807078;23807246	23804980;23805356;23807186;23807479	+;+;+;+	669	16564	6933	8982	12865	8493	13643	9244	6068	8419	8536	12272	10184
g2057	CHR11;CHR11	23810881;23812465	23811765;23812473	-;-	894	50	198	178	54	133	88	183	201	306	412	413	387
g2058	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	23814543;23814543;23816494;23816494;23816757;23816757;23817755;23817980;23817980;23818173;23818173;23818351;23818351;23820363;23820419;23820419	23814683;23814683;23816698;23816698;23817047;23817047;23817790;23818119;23818119;23818296;23818296;23818537;23818537;23820986;23820986;23820986	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1748	280	1141	922	519	480	543	1420	685	961	591	874	388
g2059	CHR11;CHR11	23830009;23830671	23830557;23830769	-;-	648	4638	3510	3031	3687	3418	3089	2793	3172	3297	2674	3189	2737
g2060	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	23831515;23831515;23831682;23831682;23832007;23832007;23833241;23833241;23833523;23833523;23833708;23833708;23834016;23834016;23835621;23835621;23836199;23836199;23836382;23836382;23836708;23836708	23831609;23831609;23831950;23831950;23832185;23832185;23833468;23833468;23833647;23833647;23833956;23833956;23834179;23834179;23836138;23836138;23836303;23836327;23836645;23836645;23836764;23836764	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2277	1839	2484	3744	3558	2622	5571	3583	2653	4637	3965	5756	4867
g2061	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	23837044;23837044;23837787;23837787;23838173;23838173;23838416;23838416;23838703	23837198;23837198;23838113;23838113;23838360;23838360;23838462;23838651;23838705	-;-;-;-;-;-;-;-;-	909	1333	1180	1238	1277	1128	902	788	1139	943	981	1202	877
g2062	CHR11;CHR11;CHR11;CHR11;CHR11;CHR11;CHR11	23838993;23838993;23839304;23839304;23839607;23839607;23839736	23839243;23839243;23839485;23839485;23839677;23839722;23839792	-;-;-;-;-;-;-	606	1019	770	711	735	807	661	419	520	487	408	597	507
g2063	CHR11;CHR11;CHR11;CHR11;CHR11	23845478;23847547;23848840;23859148;23924130	23845734;23848791;23848969;23859314;23924265	-;-;-;-;-	1935	8	39	17	8	9	17	9	28	8	17	22	16
